Nome,Município,Província,Distrito
A-1 - Saída 11,Madrid,Comunidade de Madrid,Fuencarral-El Pardo
A-2 - Saída 3,Madrid,Comunidade de Madrid,Chamartín
A-2 - Saída 4C,Madrid,Comunidade de Madrid,Ciudad Lineal
A-2 - Saída 5,Madrid,Comunidade de Madrid,Hortaleza
A-2 - Saída 7-8,Madrid,Comunidade de Madrid,San Blas-Canillejas
A-4 - Saída 69,Ocaña,Toledo,
A-4 - Saída 70,Dosbarrios,Toledo,
A-4 - Saída 72,Dosbarrios,Toledo,
A-4 - Saída 79,La Guardia,Toledo,
A-4 - Saída 81,La Guardia,Toledo,
A-4 - Saída 83,La Guardia,Toledo,
A-4 - Saída 85,La Guardia,Toledo,
A-4 - Saída 92,Tembleque,Toledo,
A-4 - Saída 93,Tembleque,Toledo,
A-4 - Saída 94,Tembleque,Toledo,
A-4 - Saída 98,Tembleque,Toledo,
A-4 - Saída 106,Madridejos,Toledo,
A-4 - Saída 112,Madridejos,Toledo,
A-4 - Saída 115,Madridejos,Toledo,
A-4 - Saída 118,Madridejos,Toledo,
A-4 - Saída 119,Madridejos,Toledo,
A-4 - Saída 134,Puerto Lápice,Ciudad Real,
A-4 - Saída 135,Puerto Lápice,Ciudad Real,
A-4 - Saída 136,Puerto Lápice,Ciudad Real,
A-4 - Saída 137,Puerto Lápice,Ciudad Real,
A-4 - Saída 140,Puerto Lápice,Ciudad Real,
A-4 - Saída 142,Villarta de San Juan,Ciudad Real,
A-4 - Saída 144,Villarta de San Juan,Ciudad Real,
A-4 - Saída 147,Herencia,Ciudad Real,
A-4 - Saída 149,Herencia,Ciudad Real,
A-4 - Saída 153,Herencia,Ciudad Real,
A-4 - Saída 155,Herencia,Ciudad Real,
A-4 - Saída 159,Llanos del Caudillo,Ciudad Real,
A-4 - Saída 160,Llanos del Caudillo,Ciudad Real,
A-4 - Saída 161,Llanos del Caudillo,Ciudad Real,
A-4 - Saída 167,Manzanares,Ciudad Real,
A-4 - Saída 172,Manzanares,Ciudad Real,
A-4 - Saída 174,Manzanares,Ciudad Real,
A-4 - Saída 175,Manzanares,Ciudad Real,
A-4 - Saída 178,Manzanares,Ciudad Real,
A-4 - Saída 179,Membrilla,Ciudad Real,
A-4 - Saída 180,Valdepeñas,Ciudad Real,
A-4 - Saída 184,Valdepeñas,Ciudad Real,
A-4 - Saída 186,Valdepeñas,Ciudad Real,
A-4 - Saída 191,Valdepeñas,Ciudad Real,
A-4 - Saída 193,Valdepeñas,Ciudad Real,
A-4 - Saída 197,Valdepeñas,Ciudad Real,
A-4 - Saída 199,Valdepeñas,Ciudad Real,
A-4 - Saída 200,Valdepeñas,Ciudad Real,
A-4 - Saída 201,Valdepeñas,Ciudad Real,
A-4 - Saída 202,Valdepeñas,Ciudad Real,
A-4 - Saída 205,Valdepeñas,Ciudad Real,
A-4 - Saída 208,Valdepeñas,Ciudad Real,
A-4 - Saída 210,Valdepeñas,Ciudad Real,
A-4 - Saída 213,Santa Cruz de Mudela,Ciudad Real,
A-4 - Saída 216,Santa Cruz de Mudela,Ciudad Real,
A-4 - Saída 217,Santa Cruz de Mudela,Ciudad Real,
A-4 - Saída 220,Santa Cruz de Mudela,Ciudad Real,
A-4 - Saída 223,Santa Cruz de Mudela,Ciudad Real,
A-4 - Saída 227,Viso del Marqués,Ciudad Real,
A-4 - Saída 230,Almuradiel,Ciudad Real,
A-4 - Saída 231,Almuradiel,Ciudad Real,
A-4 - Saída 232,Almuradiel,Ciudad Real,
A-4 - Saída 234,Almuradiel,Ciudad Real,
A-4 - Saída 238,Almuradiel,Ciudad Real,
A-4 - Saída 241,Almuradiel,Ciudad Real,
A-4 - Saída 243,Viso del Marqués,Ciudad Real,
A-4 - Saída 250-252,Santa Elena,Jaén,
A-4 - Saída 257,Santa Elena,Jaén,
A-4 - Saída 258,Santa Elena,Jaén,
A-4 - Saída 259,Santa Elena,Jaén,
A-4 - Saída 262,Santa Elena,Jaén,
A-4 - Saída 264,La Carolina,Jaén,
A-4 - Saída 265,La Carolina,Jaén,
A-4 - Saída 266,La Carolina,Jaén,
A-4 - Saída 268,La Carolina,Jaén,
A-4 - Saída 269,La Carolina,Jaén,
A-4 - Saída 270,La Carolina,Jaén,
A-4 - Saída 274,Carboneros,Jaén,
A-4 - Saída 275,Carboneros,Jaén,
A-4 - Saída 280,Guarromán,Jaén,
A-4 - Saída 283,Guarromán,Jaén,
A-4 - Saída 285,Guarromán,Jaén,
A-4 - Saída 286,Guarromán,Jaén,
A-4 - Saída 288,Guarromán,Jaén,
A-4 - Saída 299,Bailén,Jaén,
A-4 - Saída 301,Guarromán,Jaén,
A-4 - Saída 303,Villanueva de la Reina,Jaén,
A-4 - Saída 310,Villanueva de la Reina,Jaén,
A-4 - Saída 312,Andújar,Jaén,
A-4 - Saída 316,Andújar,Jaén,
A-4 - Saída 317,Andújar,Jaén,
A-4 - Saída 318,Andújar,Jaén,
A-4 - Saída 319,Andújar,Jaén,
A-4 - Saída 321,Andújar,Jaén,
A-4 - Saída 323,Andújar,Jaén,
A-4 - Saída 324,Andújar,Jaén,
A-4 - Saída 325,Andújar,Jaén,
A-4 - Saída 326,Andújar,Jaén,
A-4 - Saída 329,Andújar,Jaén,
A-4 - Saída 335,Marmolejo,Jaén,
A-4 - Saída 339,Marmolejo,Jaén,
A-4 - Saída 346,Lopera,Jaén,
A-4 - Saída 348,Villa del Río,Córdoba,
A-4 - Saída 350,Villa del Río,Córdoba,
A-4 - Saída 356,Montoro,Córdoba,
A-4 - Saída 358,Montoro,Córdoba,
A-4 - Saída 359,Montoro,Córdoba,
A-4 - Saída 361,Montoro,Córdoba,
A-4 - Saída 364,Montoro,Córdoba,
A-4 - Saída 367,Pedro Abad,Córdoba,
A-4 - Saída 370,Pedro Abad,Córdoba,
A-4 - Saída 374,El Carpio,Córdoba,
A-4 - Saída 377,Villafranca de Córdoba,Córdoba,
A-4 - Saída 383,Córdoba,Córdoba,
A-4 - Saída 385,Córdoba,Córdoba,
A-4 - Saída 391,Córdoba,Córdoba,
A-4 - Saída 396,Córdoba,Córdoba,
A-4 - Saída 400,Córdoba,Córdoba,
A-4 - Saída 401,Córdoba,Córdoba,
A-4 - Saída 403,Córdoba,Córdoba,
A-4 - Saída 404,Córdoba,Córdoba,
A-4 - Saída 406,Córdoba,Córdoba,
A-4 - Saída 411,Córdoba,Córdoba,
A-4 - Saída 412,Córdoba,Córdoba,
A-4 - Saída 414,Córdoba,Córdoba,
A-4 - Saída 418,Córdoba,Córdoba,
A-4 - Saída 420,Córdoba,Córdoba,
A-4 - Saída 424,Córdoba,Córdoba,
A-4 - Saída 430,La Carlota,Córdoba,
A-4 - Saída 432,La Carlota,Córdoba,
A-4 - Saída 434,La Carlota,Córdoba,
A-4 - Saída 437,Écija,Sevilha,
A-4 - Saída 441,La Carlota,Córdoba,
A-4 - Saída 444,Écija,Sevilha,
A-4 - Saída 445,Écija,Sevilha,
