Local A,Local B,Meio de transporte,Distância,Informação extra,Ponto cardeal,Ordem A,Ordem B
Carvoeiro,Praia do Vale de Centeanes,Carro,2.3,,SE,1,2
"Casa Branca, Alcoutim",Deserto,Carro,0.6,,O,1,3
"Casa Branca, Alcoutim",Cerro,Carro,0.3,,SO,2,2
"Casa Branca, Castro Marim",Choça Queimada,Carro,0.8,,NO,1,2
Cascata do Pulo do Lobo - Margem Esquerda,Vale do Poço,Carro,12.3,,SE,1,2
Cascata do Pulo do Lobo - Margem Direita,Cruzamento da N122 com a N123,Carro,16.5,,SO,1,2
Casinhas,Montes Castelhanos,Carro,0.6,,NE,1,4
Casinhas,Junqueira,Carro,0.7,,E,2,3
Castelo de Paderne,Paderne,Carro,3.7,,N,1,3
Castro Marim,Sul do Sapal de Castro Marim e Vila Real de Santo António,Carro,1.8,N122,SE,2,1
Castro Marim,Vista Real,Carro,2.3,N125-6,NO,3,2
Castro Marim Golfe & Country Club,IC27 - Saída 1,Carro,2.2,,NE,1,4
Castro Marim Golfe & Country Club,Vista Real,Carro,3.2,,SE,2,4
Castro Verde,Cruzamento da N122 com a N123,Carro,31.5,N123,E,1,4
Castro Verde,IP2 - Saída 48,Carro,1.1,N2,N,4,3
Castro Verde,IP2 - Saída 49,Carro,1.6,N2,SO,5,3
Castro Verde,Mina de Neves-Corvo,Carro,20.0,,SE,2,2
Cercado,Deserto,Carro,0.3,,E,2,1
Cercal do Alentejo,Colos,Carro,21.5,,SE,3,1
Cercal do Alentejo,Cruzamento da N120 com a N120-1,Carro,7.2,N120,NO,5,1
Cercal do Alentejo,Mimosa,Carro,36.1,,NE,4,1
Cercal do Alentejo,São Luís,Carro,10.6,N120,S,1,3
Cercal do Alentejo,Vila Nova de Milfontes,Carro,14.4,,SO,2,4
Cerro,Deserto,Carro,0.6,,NO,1,4
Cerro,Montinho,Carro,0.2,,S,3,2
Cerro do Enho,Vale de Andreu,Carro,2.3,,NE,1,3
Cerro do Enho,Tanoeiro,Carro,1.6,,NO,2,1
Choça Queimada,Quebradas,Carro,2.2,,S,1,3
CM-41 - Saída 2,Cruzamento da A-5 com a CM-41,Carro,2.4,CM-41,NO,1,3
CO-32 - Fim,CO-32 - Saída 3,Carro,3.0,CO-32,SE,1,1
CO-32 - Saída 3,Cruzamento da A-4 com a A-45,Carro,1.9,CO-32,SE,2,3
Coito,Santa Marta,Carro,2.9,,NE,1,3
Coito,Serro da Vinha de Baixo,Carro,1.7,,SO,2,1
Colos,Cruzamento da N123-1 com a N263,Carro,3.3,N123-1,SE,2,3
"Conceição, Faro",Estoi,Carro,4.3,,NE,2,3
"Conceição, Faro",Pechão,Carro,4.6,,E,3,4
"Conceição, Faro",Variante de Faro - Nó com a N2,Carro,2.7,N2,SO,4,4
"Conceição, Faro",Cruzamento do IC4 com a M520,Carro,4.3,,SO,5,3
"Conceição, Tavira",Vila Nova de Cacela,Carro,7.9,N125,NE,1,3
"Conceição, Tavira",Tavira - Norte,Carro,4.9,N125,SO,2,1
"Conceição, Tavira",Estação de Cacela,Comboio,7.1,Linha do Algarve - Regional,NE,4,3
"Conceição, Tavira",Estação da Porta Nova,Comboio,4.2,Linha do Algarve - Regional,SO,5,2
Coria del Río,SE-40 - Reinício,Carro,2.9,,NE,1,3
Corte da Seda,Marmeleiro,Carro,2.2,N122-1,NE,1,2
Corte da Seda,Parque Empresarial de Alcoutim,Carro,1.5,N122-1,SO,2,1
Corte das Donas,Cruzamento da N122 com a M507-2,Carro,4.7,,NO,1,2
Corte das Donas,Rotunda da Árvore,Carro,2.1,,E,2,2
Corte do Gago,Cruzamento da M509 com a M512,Carro,3.5,,N,2,3
Corte João Marques,Martim Longo,Carro,17.7,N124-2,NE,1,4
Corte Nova,Vale do Pereiro,Carro,2.3,,SE,1,1
Corte Nova,Furnazinhas,Carro,3.0,,O,2,1
Corte Nova,Corte Velha,Carro,1.4,,N,3,2
Corte Velha,Cruzamento da N122 com a M1060,Carro,1.5,,E,1,2
Cortes Pereiras,Menires do Lavajo,Carro,2.5,,NO,3,1
Cortes Pereiras,São Martinho,Carro,0.6,,SO,4,1
Cortes Pereiras,Monte Vascão,Carro,3.2,,NO,5,1
Corte Tabelião,Parque Empresarial de Alcoutim,Carro,6.6,,S,2,4
Corte Tabelião,IC27 - Fim,Carro,5.9,,NO,3,3
Cross of Sacrifice,Pista do Aeroporto de Gibraltar,Carro,0.3,,N,1,2
Cross of Sacrifice,Victoria Stadium,Carro,0.1,,O,2,1
Cruzamento da A-32 com a A-44,Cruzamento da A-4 com a A-44,Carro,3.0,A-44,NO,1,3
Cruzamento da A-376 com a SE-30,SE-30 - Saída 8,Carro,2.6,SE-30,SO,1,2
Cruzamento da A-376 com a SE-30,SE-30 - Saída 5,Carro,1.2,SE-30,NE,2,1
Cruzamento da A-376 com a SE-40,Cruzamento da A-92 com a SE-40,Carro,5.6,SE-40,NE,2,1
Cruzamento da A-376 com a SE-40,SE-40 - Saída 19,Carro,4.9,SE-40,SO,1,2
Cruzamento da A-381 com a AP-4,Cruzamento da A-382 com a AP-4,Carro,5.9,AP-4,N,1,2
Cruzamento da A-381 com a AP-4,Cruzamento da A-4 com a AP-4,Carro,17.2,AP-4,SO,2,1
Cruzamento da A-4 com a A-40,Cruzamento da A-4 com a AP-36 e a R-4,Carro,2.6,A-4,SE,1,2
Cruzamento da A-4 com a AP-36 e a R-4,Cruzamento da A-40 com a R-4,Carro,6.4,R-4,NO,3,2
Cruzamento da A-4 com a AP-4,Cruzamento da AP-4 com a CA-32,Carro,2.9,AP-4,O,2,1
Cruzamento da A-4 com a M-50,Cruzamento da M-50 com a R-4,Carro,2.5,M-50,O,1,2
Cruzamento da A-4 com a SE-20,SE-20 - Miraflores,Carro,2.4,SE-20,NO,3,2
Cruzamento da A-4 Norte com a SE-30,SE-30 - Saída 1,Carro,1.0,SE-30,SE,1,2
Cruzamento da A-4 Norte com a SE-30,Ronda Urbana Norte de Sevilha - Poligono Calonge,Carro,0.7,Ronda Urbana Norte de Sevilha,N,2,1
Cruzamento da A-4 Norte com a SE-40,SE-40 - Saída 5,Carro,5.0,SE-40,SO,3,2
Cruzamento da A-4 Sul com a SE-30,Ponte do Centenário,Carro,1.4,SE-30,NO,1,2
Cruzamento da A-4 Sul com a SE-30,SE-30 - Saída 8,Carro,0.9,SE-30,E,2,1
Cruzamento da A-4 Sul com a SE-30,Cruzamento da A-4 Sul com a SE-40,Carro,5.1,A-4,S,3,1
Cruzamento da A-4 Sul com a SE-40,SE-40 - Saída 19,Carro,3.3,SE-40,E,3,1
Cruzamento da A-40 com a R-4,R-4 - Saída 38,Carro,7.4,R-4,NO,1,2
Cruzamento da A-42 com a M-40,Cruzamento da M-40 com a R-5,Carro,2.1,M-40,SO,1,2
Cruzamento da A-42 com a M-50,Cruzamento da M-50 com a R-4,Carro,2.6,M-50,E,2,1
Cruzamento da A-44 com a A-92,Cruzamento da A-92 com a GR-30,Carro,1.4,A-92,NE,2,1
Cruzamento da A-45 com a A-7,Cruzamento da A-7 com a MA-20,Carro,1.6,A-7,SO,1,2
Cruzamento da A-49 com a H-31,H-31 - Saída 80,Carro,1.5,H-31,SO,3,1
Cruzamento da A-49 com a SE-30,Cruzamento da A-66 com a SE-30,Carro,2.7,SE-30,N,1,2
Cruzamento da A-49 com a SE-30,SE-30 - Saída 15,Carro,1.9,SE-30,S,2,1
Cruzamento da A-49 com a SE-30,Sevilha - Avenida Expo 92,Carro,1.3,A-49,E,4,1
Cruzamento da A-49 com a SE-40,SE-40 - Saída 35,Carro,6.8,SE-40,S,3,1
Cruzamento da A-5 com a EX-A2,EX-A2 - Saída 6,Carro,6.0,EX-A2,SE,3,1
Cruzamento da A-5 com a R-5,R-5 - Saída 28,Carro,2.6,R-5,E,3,1
Cruzamento da A-6 com a M-50,M-50 - Saída 83,Carro,1.8,M-50,SO,1,1
Cruzamento da A-66 com a SE-30,Cruzamento da SE-20 com a SE-30,Carro,2.4,SE-30,E,1,2
Cruzamento da A-7 com a AP-46,Cruzamento da A-7 com a MA-20,Carro,4.8,A-7 - Ronda Oeste de Málaga,SE,2,1
Cruzamento da A-8005 com a SE-20,Cruzamento da A-8009 com a SE-20,Carro,0.7,SE-20,NO,1,2
Cruzamento da A-8005 com a SE-20,SE-20 - Pino Montano,Carro,1.5,SE-20,SE,2,1
Cruzamento da A-8009 com a SE-20,SE-20 - San Jerónimo,Carro,1.5,SE-20,SO,1,2
Cruzamento da A-92 com a SE-30,SE-30 - Saída 3,Carro,0.6,SE-30,S,1,2
Cruzamento da A-92 com a SE-30,SE-30 - Saída 1,Carro,1.5,SE-30,NO,2,1
Cruzamento da A-92 com a SE-40,SE-40 - Saída 5,Carro,3.4,SE-40,NE,2,1
Cruzamento da A2 com a A26,Estação de Ermidas - Sado,Carro,16.0,IC1,S,4,7
Cruzamento da AP-4 com a CA-32,Cruzamento da CA-35 com a CA-36,Carro,2.9,CA-35,SO,2,1
Cruzamento da AP-41 com a R-5,R-5 - Saída 11,Carro,5.6,R-5,NE,2,1
Cruzamento da AP-41 com a R-5,R-5 - Saída 20,Carro,2.8,R-5,SO,1,2
Cruzamento da H-30 com a H-31,H-31 - Saída 80,Carro,4.4,H-31,NE,1,2
Cruzamento da M-40 com a M-45,M-40 - Saída 30,Carro,1.3,M-40,E,1,1
Cruzamento da M-40 com a M-45,Cruzamento da M-45 com a R-5,Carro,1.0,M-45,SE,3,3
Cruzamento da M-40 com a M-45,M-40 - Saída 28A,Carro,0.8,M-40,E,2,1
Cruzamento da M-40 com a R-5,Cruzamento da M-45 com a R-5,Carro,1.3,R-5,SO,3,2
Cruzamento da M-40 com a R-5,M-40 - Saída 28A,Carro,0.9,M-40,SO,1,2
Cruzamento da M-50 com a M-503,M-50 - Saída 72,Carro,4.1,M-50,S,2,1
Cruzamento da M-50 com a M-503,M-50 - Saída 79,Carro,2.8,M-50,NO,1,2
Cruzamento da M-50 com a R-4,R-4 - Saída 1,Carro,2.1,R-4,SO,3,1
Cruzamento da M524 com a M525,Loulé,Carro,6.8,,S,1,7
Cruzamento da M524 com a M525,Fonte Benémola,Carro,3.4,,NE,2,2
Cruzamento da M524 com a M525,Salir,Carro,7.3,,N,3,3
Cruzamento da M524 com a M525,Tôr,Carro,1.3,,NO,4,1
Cruzamento da MA-20 com a MA-23,MA-20 - Saída 1,Carro,2.2,MA-20,SO,1,2
Cruzamento da N-431 com a N-444,Lepe,Carro,3.1,,SO,2,2
Cruzamento da N120 com a N120-1,Porto Covo,Carro,11.3,,O,2,1
Cruzamento da N120 com a N120-1,Praia de São Torpes,Carro,14.0,N120-1,NO,3,2
Cruzamento da N120 com a N125,Estação de Lagos,Carro,1.6,,SE,2,1
Cruzamento da N120 com a N125,Lagos,Carro,1.6,,SE,4,1
Cruzamento da N120 com a N125,N125 - Acesso à Saída 1 da A22,Carro,1.8,N125,SO,5,2
Cruzamento da N120 com a N125,N125 - Acesso à Saída 2 da A22,Carro,3.9,N125,NE,1,3
Cruzamento da N122 com a M1059,IC27 - Saída 6,Carro,1.6,,O,1,3
Cruzamento da N122 com a M1059,Cruzamento da N122 com a M507-2,Carro,0.7,N122,N,2,3
Cruzamento da N122 com a M1059,Cruzamento da N122 com a M1060,Carro,5.6,N122,SO,3,3
Cruzamento da N122 com a M1060,IC27 - Saída 5,Carro,2.6,N122,SE,1,5
Cruzamento da N122 com a M1063,Fonte do Penedo,Carro,1.6,,NE,1,2
Cruzamento da N122 com a M1063,IC27 - Saída 3,Carro,0.8,N122,SO,3,3
Cruzamento da N122 com a M507,IC27 - Fim,Carro,0.5,N122,SE,1,1
Cruzamento da N122 com a M507,Santa Marta,Carro,1.8,N122,NO,3,1
Cruzamento da N122 com a M512,IC27 - Saída 2,Carro,2.1,,NO,2,3
Cruzamento da N122 com a M512,Montes Castelhanos,Carro,3.5,N122,S,3,1
Cruzamento da N122 com a N123,IP2 - Saída 44,Carro,27.9,N122,NO,1,3
Cruzamento da N122 com a N123,Mértola,Carro,11.1,N122,SE,3,3
Cruzamento da N122 com a N267,Mértola,Carro,2.1,N122,NE,2,1
Cruzamento da N122 com a N267,Neves,Carro,2.2,,SE,3,1
Cruzamento da N123 com a N263,Cruzamento da N123-1 com a N263,Carro,20.2,,NE,3,2
Cruzamento da N123 com a N263,Luzianes,Carro,18.1,N123,SE,2,2
Cruzamento da N123 com a N263,Odemira,Carro,3.5,N123,SO,1,4
Cruzamento da N123-1 com a N263,Estação de Amoreiras - Odemira,Carro,3.7,N123-1,SE,1,4
Cruzamento da N123-1 com a N263,Estação de Funcheira,Carro,11.7,,E,4,7
Cruzamento da N123-1 com a N263,IC1 - Cruzamento com a N263,Carro,13.7,,NE,5,1
Cruzamento da N124 com a M507-1,Giões,Carro,2.5,,N,1,1
Cruzamento da N124 com a M507-1,Martim Longo,Carro,6.9,N124,SO,2,2
Cruzamento da N124 com a M507-1,Pereiro,Carro,8.9,N124,E,3,1
Cruzamento da N124 com a N125,Cruzamento da N125 com a M531-1,Carro,3.0,N125,NO,5,3
Cruzamento da N124 com a N125,Estação de Portimão,Carro,1.6,,S,1,3
Cruzamento da N124 com a N125,N125 - Acesso a Estômbar e Ferragudo,Carro,3.8,N125,E,3,3
Cruzamento da N124 com a N125,Portimão - Avenida São Lourenço da Barrosa,Carro,2.9,N124,SO,2,5
Cruzamento da N124 com a N266,Silves,Carro,11.9,N124,SE,2,4
Cruzamento da N124 com a N270,Paderne,Carro,9.4,,SE,1,4
Cruzamento da N124 com a N396,Querença,Carro,8.5,,SO,2,3
Cruzamento da N124 com a N396,Salir,Carro,8.4,N124,O,3,2
Cruzamento da N124-1 com a N125,Lagoa,Carro,1.6,N125,SE,2,4
Cruzamento da N124-1 com a N125,N125 - Acesso a Estômbar e Ferragudo,Carro,3.1,N125,NO,3,1
Cruzamento da N125 com a M1347,Luz de Tavira,Carro,2.2,N125,SO,3,1
Cruzamento da N125 com a M1347,Tavira - Sul,Carro,4.3,N125,NE,1,6
Cruzamento da N125 com a M1347,Pedras de El-Rei,Carro,1.0,,SE,2,3
Cruzamento da N125 com a M516-2,Livramento,Carro,2.8,N125,NE,1,2
Cruzamento da N125 com a M516-2,Estação de Fuseta-Moncarapacho,Carro,0.9,N125-5,SE,2,1
Cruzamento da N125 com a M516-2,Cruzamento da N125 com a N398,Carro,5.9,N125,SO,3,1
Cruzamento da N125 com a M516-2,Moncarapacho,Carro,3.8,,NO,4,3
Cruzamento da N125 com a M526,Vilamoura,Carro,5.7,,SE,1,2
Cruzamento da N125 com a M526,Cruzamento da N125 com a N396,Carro,8.2,N125,SE,2,5
Cruzamento da N125 com a M526,Estação de Boliqueime,Carro,2.3,,NO,3,2
Cruzamento da N125 com a M526,Olhos de Água,Carro,6.7,,SO,5,1
Cruzamento da N125 com a M531-1,Mexilhoeira Grande,Carro,4.6,N125,O,5,1
Cruzamento da N125 com a M531-1,Portimão - Avenida São Lourenço da Barrosa,Carro,5.0,,SE,2,9
Cruzamento da N125 com a M535,Cruzamento da N125 com a M537-2,Carro,2.2,N125,E,1,3
Cruzamento da N125 com a M537-2,Espiche,Carro,4.4,N125,NE,2,4
Cruzamento da N125 com a N125-6,Estação de Castro Marim,Carro,1.4,N125-6,N,1,1
Cruzamento da N125 com a N125-6,Estação de Monte Gordo,Carro,3.4,N125,E,2,3
Cruzamento da N125 com a N125-6,Praia Verde,Carro,1.3,,S,3,1
Cruzamento da N125 com a N269,Cruzamento da N125 com a N395,Carro,2.1,N125,SO,4,2
Cruzamento da N125 com a N269,Estação de Albufeira - Ferreiras,Carro,1.5,,NO,3,1
Cruzamento da N125 com a N395,Ferreiras,Carro,0.9,,N,1,3
Cruzamento da N125 com a N395,IC1 - Fim,Carro,1.4,N125,NO,4,1
Cruzamento da N125 com a N396,Estação de Loulé,Carro,2.3,,NO,3,1
Cruzamento da N125 com a N398,Olhão,Carro,3.2,N125,SO,2,1
Cruzamento da N125-4 com a M521,Estação de Almancil,Carro,3.4,,S,1,1
Cruzamento da N125-4 com a M521,Mar Shopping Algarve,Carro,4.0,N125-4,SE,2,2
Cruzamento da N125-4 com a M521,Loulé,Carro,2.0,N125-4,N,3,1
Cruzamento da N265 com a N392,Paymogo,Carro,20.9,,SE,4,1
Cruzamento da N265 com a N392,Serpa,Carro,17.7,,NO,2,1
Cruzamento da N265 com a N392,Vale do Poço,Carro,7.5,,S,1,3
Cruzamento da N265 com a N392,Vila Nova de São Bento,Carro,19.5,,NE,3,2
Cruzamento da N266 com a N267 Oeste,Marmelete,Carro,14.2,,NO,2,1
Cruzamento da N266 com a N267 Oeste,Monchique,Carro,2.7,,NE,1,4
Cruzamento da N269 com a N269-2,Ferreiras,Carro,4.0,,SE,1,4
Cruzamento da N269 com a N269-2,Tunes,Carro,2.3,,NE,2,3
Cruzamento da SE-20 com a SE-30,SE-30 - Saída 21,Carro,1.2,SE-30,E,1,2
Cruzamento da SE-20 com a SE-30,SE-20 - Estádio de La Cartuja,Carro,0.8,SE-20,N,3,1
Cruzamento do IC1 com o IP8,Grândola,Carro,3.4,IC1,S,2,6
Cruzamento do IC4 com a M520,Variante de Faro - Nó com o IC4,Carro,1.3,IC4,S,1,4
Cruzamento do IC4 com a M520,Cruzamento do IC4 com a N125,Carro,3.4,IC4,NO,2,1
Cruzamento do IC4 com a N125,Estação de Parque das Cidades,Carro,1.2,,NO,3,1
Cruzamento do IC4 com a N125,Estádio Algarve,Carro,2.4,,N,4,1
Cruzamento Este da A-7 com a MA-24,Cruzamento Oeste da A-7 com a MA-24,Carro,5.0,A-7,NO,1,2
Cruzamento Sul da MA-20 com a MA-21,MA-20 - Saída 1,Carro,1.1,MA-20,NE,2,1
Cuba,Estação de Alvito,Carro,16.7,,NO,7,3
Cuba,Estação de Alvito,Comboio,12.2,Linha do Alentejo - Intercidades/Regional,NO,2,1
Cuba,Ferreira do Alentejo,Carro,24.5,,SO,6,6
Cuba,São Matias,Carro,8.5,,SE,4,3
Cuba,Villa Romana de São Cucufate,Carro,9.9,,NE,3,2
Culatra,Ilha da Armona,Barco,6.2,Ria Formosa,NE,1,2
Culatra,Hangares,Barco,1.6,Ria Formosa,SO,2,1
Culatra,Olhão,Barco,5.1,Ria Formosa,N,3,8
Deserto,Montinho,Carro,0.6,,SE,5,1
Don Benito,EX-A2 - Fim,Carro,4.8,,NE,2,2
Don Benito,EX-A2 - Saída 20,Carro,5.6,,N,1,3
Don Benito,Villanueva de la Serena,Comboio,6.1,Linha Ciudad Real-Badajoz - Media Distancia/Regional Exprés,NE,3,3
Dunas de Vila Real de Santo António,Monte Gordo,Carro,1.7,,O,1,2
Dunas de Vila Real de Santo António,Vila Real de Santo António,Carro,2.0,,NE,2,4
Écija,Estepa,Carro,37.9,,SE,4,2
Écija,Osuna,Carro,35.1,,S,3,2
El Granado,Puebla de Guzmán,Carro,21.5,,NE,4,1
El Granado,Puerto de la Laja,Carro,7.5,,O,2,1
El Granado,Sanlúcar de Guadiana,Carro,7.8,,SO,1,1
El Granado,Villanueva de los Castillejos,Carro,14.4,,E,3,1
Encinasola,Oliva de la Frontera,Carro,20.0,,N,2,1
Entradas,IP2 - Saída 47,Carro,8.2,IP2,NE,1,2
Entradas,IP2 - Saída 48,Carro,10.2,IP2,SO,2,1
Ervidel,Ferreira do Alentejo,Carro,11.8,N2,NO,4,2
Ervidel,Villa Romana de Pisões,Carro,13.6,,NE,2,2
Espiche,"Luz, Lagos",Carro,1.9,,SE,2,1
Espiche,N125 - Acesso à Saída 1 da A22,Carro,4.1,N125,NE,1,4
Espírito Santo,Moinhos de Vento de Cima,Carro,4.5,,O,6,2
Espírito Santo,Roncão de Cima,Carro,5.8,,NE,3,1
Espírito Santo,Sedas,Carro,4.7,N122,SE,1,1
Estação de Albufeira - Ferreiras,Estação de Boliqueime,Comboio,5.2,Linha do Algarve - Regional,E,3,4
Estação de Albufeira - Ferreiras,Estação de Loulé,Comboio,17.1,Linha do Algarve - Intercidades,SE,5,6
Estação de Albufeira - Ferreiras,Estação de Loulé,Comboio de Alta Velocidade,17.1,Linha do Algarve,SE,6,8
Estação de Albufeira - Ferreiras,Ferreiras,Carro,1.2,,SO,2,2
Estação de Albufeira - Ferreiras,Tunes,Comboio,5.2,Linha do Algarve - Intercidades/Regional,NO,4,6
Estação de Albufeira - Ferreiras,Tunes,Comboio de Alta Velocidade,5.2,Linha do Algarve,NO,7,9
Estação de Alcáçovas,Vila Nova da Baronia,Comboio,14.5,Linha do Alentejo - Intercidades,SE,1,2
Estação de Alcantarilha,Poço Barreto,Carro,3.7,,O,3,1
Estação de Alcantarilha,Poço Barreto,Comboio,3.6,Linha do Algarve - Regional,O,5,5
Estação de Almancil,Estação de Parque das Cidades,Comboio,4.2,Linha do Algarve - Regional,SE,3,4
Estação de Almancil,Estação de Loulé,Comboio,3.4,Linha do Algarve - Regional,NO,4,3
Estação de Alvito,Ferreira do Alentejo,Carro,25.6,,SO,5,7
Estação de Alvito,"Odivelas, Ferreira do Alentejo",Carro,17.9,,SO,6,3
Estação de Alvito,Vila Nova da Baronia,Comboio,8.2,Linha do Alentejo - Intercidades/Regional,NO,2,1
Estação de Amoreiras - Odemira,Estação de Funcheira,Comboio,8.9,Linha do Sul - Intercidades,NE,2,1
Estação de Amoreiras - Odemira,Estação de Santa Clara - Sabóia,Comboio,31.3,Linha do Sul - Intercidades,SO,1,7
Estação de Amoreiras - Odemira,São Martinho das Amoreiras,Carro,4.7,N123-1,S,3,4
Estação de Boliqueime,Estação de Loulé,Comboio,8.6,Linha do Algarve - Regional,SE,3,4
Estação de Bom João,Porto de Faro,Carro,2.0,,S,1,1
Estação de Bom João,Faro - Sé,Carro,1.7,,N,2,3
Estação de Bom João,Variante de Faro - Nó com a M518,Carro,2.6,,NE,3,3
Estação de Bom João,Olhão,Comboio,7.8,Linha do Algarve - Regional,NE,4,6
Estação de Bom João,Estação de Faro,Comboio,2.2,Linha do Algarve - Regional,NO,5,2
Estação de Cacela,Vila Nova de Cacela,Carro,0.8,,SE,1,4
Estação de Cacela,Estação de Castro Marim,Comboio,5.9,Linha do Algarve - Regional,NE,2,4
Estação de Castro Marim,Vista Real,Carro,3.8,N125-6,NE,2,3
Estação de Castro Marim,Estação de Monte Gordo,Comboio,3.4,Linha do Algarve - Regional,SE,3,5
Estação de Ermidas - Sado,Estação de Funcheira,Comboio,35.1,Linha do Sul - Intercidades,S,1,2
Estação de Ermidas - Sado,Estação de Funcheira,Comboio de Alta Velocidade,35.1,Linha do Sul,S,3,4
Estação de Ermidas - Sado,Ferreira do Alentejo,Carro,29.0,N121,NE,6,4
Estação de Ermidas - Sado,Grândola,Comboio,27.6,Linha do Sul - Intercidades,NO,2,1
Estação de Ermidas - Sado,Grândola,Comboio de Alta Velocidade,27.6,Linha do Sul,NO,4,3
Estação de Ermidas - Sado,Mimosa,Carro,10.9,IC1,SE,5,4
Estação de Estômbar - Lagoa,Estação de Ferragudo,Comboio,3.1,Linha do Algarve - Regional,SO,5,2
Estação de Estômbar - Lagoa,Estação de Silves,Comboio,6.0,Linha do Algarve - Regional,NE,4,5
Estação de Estômbar - Lagoa,Estômbar,Carro,0.5,,N,2,1
Estação de Estômbar - Lagoa,Mexilhoeira da Carregação,Carro,2.5,,O,3,2
Estação de Estômbar - Lagoa,Slide & Splash,Carro,1.2,,SE,1,2
Estação de Faro,Faro - São Pedro,Carro,0.8,,E,1,3
Estação de Faro,Estação de Parque das Cidades,Comboio,8.1,Linha do Algarve - Regional,NO,3,3
Estação de Faro,Estação de Loulé,Comboio,15.8,Linha do Algarve - Intercidades,NO,4,5
Estação de Faro,Estação de Loulé,Comboio de Alta Velocidade,15.8,Linha do Algarve,NO,5,7
Estação de Ferragudo,Estação de Portimão,Comboio,2.0,Linha do Algarve - Regional,NO,3,4
Estação de Ferragudo,Parchal,Carro,0.3,,SO,1,3
Estação de Funcheira,Estação de Santa Clara - Sabóia,Comboio de Alta Velocidade,40.2,Linha do Sul,SO,3,9
Estação de Funcheira,Ourique,Carro,16.3,,SE,5,4
Estação de Funcheira,São Martinho das Amoreiras,Carro,11.6,,SO,6,5
Estação de Fuseta-A,Fuseta,Carro,0.7,,NE,1,2
Estação de Fuseta-A,Estação de Fuseta-Moncarapacho,Comboio,0.9,Linha do Algarve - Regional,N,2,4
Estação de Fuseta-A,Olhão,Comboio,8.7,Linha do Algarve - Regional,SO,3,5
Estação de Fuseta-Moncarapacho,Fuseta,Carro,0.8,N125-5,SE,2,1
Estação de Fuseta-Moncarapacho,Livramento,Comboio,2.9,Linha do Algarve - Regional,NE,3,4
Estação de Lagos,Lagos,Carro,2.4,,S,4,2
Estação de Lagos,Marina de Lagos,Carro,0.3,,SO,2,1
Estação de Lagos,Meia Praia,Carro,3.2,,NE,3,1
Estação de Lagos,Meia Praia,Comboio,2.6,Linha do Algarve - Regional,NE,5,3
Estação da Luz,Luz de Tavira,Carro,0.6,,NO,1,2
Estação da Luz,Estação de Tavira,Comboio,5.4,Linha do Algarve - Regional,NE,2,3
Estação da Luz,Livramento,Comboio,3.3,Linha do Algarve - Regional,SO,3,3
Estação de Messines - Alte,Estação de Santa Clara - Sabóia,Comboio,32.0,Linha do Sul - Intercidades,NO,3,6
Estação de Messines - Alte,São Bartolomeu de Messines,Carro,0.9,,NE,1,2
Estação de Messines - Alte,Tunes,Comboio,12.1,Linha do Sul - Intercidades,SE,2,8
Estação de Monte Gordo,Hortas,Carro,0.9,N125,SE,1,1
Estação de Monte Gordo,Monte Gordo,Carro,1.5,,S,2,1
Estação de Monte Gordo,Vila Real de Santo António,Comboio,2.7,Linha do Algarve - Regional,NE,4,8
Estação de Parque das Cidades,Mar Shopping Algarve,Carro,2.5,,NO,2,4
Estação da Porta Nova,Tavira - Norte,Carro,0.7,,S,1,2
Estação da Porta Nova,Estação de Tavira,Comboio,1.6,Linha do Algarve - Regional,SO,3,2
Estação de Portimão,Mexilhoeira Grande,Comboio,8.9,Linha do Algarve - Regional,NO,5,3
Estação de Portimão,Portimão - Avenida São Lourenço da Barrosa,Carro,2.1,,SO,2,4
Estação de Portimão,Universidade do Algarve - Campus de Portimão,Carro,0.2,,SE,1,2
Estação de Santa Clara - Sabóia,Luzianes,Carro,11.3,,N,5,1
Estação de Santa Clara - Sabóia,Monchique,Carro,30.9,,SO,1,5
Estação de Santa Clara - Sabóia,São Marcos da Serra,Carro,23.7,,SE,2,4
Estação de Santa Clara - Sabóia,São Teotónio,Carro,27.0,,O,4,2
Estação de Santa Clara - Sabóia,Tunes,Comboio de Alta Velocidade,44.0,Linha do Sul,SE,8,10
Estação de Silves,Parque Municipal do Sítio das Fontes,Carro,6.1,,SO,3,2
Estação de Silves,Poço Barreto,Comboio,5.1,Linha do Algarve - Regional,SE,4,6
Estação de Silves,Silves,Carro,2.5,N124-1,N,2,1
Estação de Tavira,Tavira - Sul,Carro,0.6,,NE,1,3
Estádio Algarve,Santa Bárbara de Nexe,Carro,2.6,,NE,2,2
Estepa,Pedrera,Carro,10.5,,S,3,2
Estoi,Moncarapacho,Carro,10.3,,E,1,5
Estoi,Pechão,Carro,4.8,N2-6,SE,2,3
Estoi,Ruínas Romanas de Milreu,Carro,0.9,N2-6,O,4,1
Estômbar,Parque Municipal do Sítio das Fontes,Carro,2.1,,N,2,1
"Estrela, Moura",Póvoa de São Miguel,Carro,9.0,,SE,1,3
EX-A2 - Fim,EX-A2 - Saída 23,Carro,1.6,EX-A2,NO,1,2
EX-A2 - Fim,Villanueva de la Serena,Carro,2.1,,NE,3,2
EX-A2 - Saída 6,EX-A2 - Saída 8,Carro,2.2,EX-A2,S,2,1
EX-A2 - Saída 8,EX-A2 - Saída 15,Carro,6.8,EX-A2,SE,2,1
