Nome,Freguesia,Concelho
Budens,Budens,Vila do Bispo
Burgau,Budens,Vila do Bispo
Cabanas de Tavira,Cabanas de Tavira,Tavira
Cabeço da Junqueira,Castro Marim,Castro Marim
Cabo de Santa Maria,Sé,Faro
Cabo de São Vicente,Sagres,Vila do Bispo
Cacela Velha,Vila Nova de Cacela,Vila Real de Santo António
Cachopo,Cachopo,Tavira
Cais da Mesquita,Espírito Santo,Mértola
Cais da Praia do Barril,Santa Luzia,Tavira
Caldas de Monchique,Monchique,Monchique
Canal Caveira,Grândola,Grândola
Carrapateira,Bordeira,Aljezur
Carvoeiro,Carvoeiro,Lagoa
"Casa Branca, Alcoutim",Alcoutim,Alcoutim
"Casa Branca, Castro Marim",Odeleite,Castro Marim
Cascata do Pego do Inferno,Santo Estêvão,Tavira
Cascata do Pulo do Lobo - Margem Direita,Mértola,Mértola
Cascata do Pulo do Lobo - Margem Esquerda,Santa Maria,Serpa
Casinhas,Castro Marim,Castro Marim
Castelo de Paderne,Paderne,Albufeira
Castro de Alferce,Alferce,Monchique
Castro Marim,Castro Marim,Castro Marim
Castro Marim Golfe & Country Club,Castro Marim,Castro Marim
Castro Verde,Castro Verde,Castro Verde
Cercado,Alcoutim,Alcoutim
Cercal do Alentejo,Cercal do Alentejo,Santiago do Cacém
Cerro,Alcoutim,Alcoutim
Cerro do Enho,Castro Marim,Castro Marim
Choça Queimada,Odeleite,Castro Marim
Coito,Pereiro,Alcoutim
Colos,Colos,Odemira
"Conceição, Faro",Conceição,Faro
"Conceição, Tavira",Conceição,Tavira
Corte da Seda,Alcoutim,Alcoutim
Corte das Donas,Alcoutim,Alcoutim
Corte do Gago,Azinhal,Castro Marim
Corte João Marques,Ameixal,Loulé
Corte Nova,Odeleite,Castro Marim
Corte Tabelião,Alcoutim,Alcoutim
Corte Velha,Odeleite,Castro Marim
Cortes Pereiras,Alcoutim,Alcoutim
Cruzamento da A12 com a A2,Palmela,Palmela
Cruzamento da A16 com a A5,Alcabideche,Cascais
Cruzamento da A16 com a A9 CREL,Belas,Sintra
Cruzamento da A2 com a A6 e a A13,Landeira,Vendas Novas
Cruzamento da A2 com a A22,Paderne,Albufeira
Cruzamento da A2 com a A26,Azinheira dos Barros e São Mamede do Sádão,Grândola
Cruzamento da A5 com a A9 CREL,Queijas,Oeiras
Cruzamento da M509 com a M512,Azinhal,Castro Marim
Cruzamento da M524 com a M525,Tôr,Loulé
Cruzamento da N120 com a N120-1,Cercal do Alentejo,Santiago do Cacém
Cruzamento da N120 com a N125,São Sebastião,Lagos
Cruzamento da N120 com a N268,Aljezur,Aljezur
Cruzamento da N122 com a M1059,Alcoutim,Alcoutim
Cruzamento da N122 com a M1060,Odeleite,Castro Marim
Cruzamento da N122 com a M1063,Odeleite,Castro Marim
Cruzamento da N122 com a M507,Pereiro,Alcoutim
Cruzamento da N122 com a M507-2,Alcoutim,Alcoutim
Cruzamento da N122 com a M512,Azinhal,Castro Marim
Cruzamento da N122 com a N123,Mértola,Mértola
Cruzamento da N122 com a N267,Mértola,Mértola
Cruzamento da N123 com a N263,Santa Maria,Odemira
Cruzamento da N123-1 com a N263,Santa Luzia,Ourique
Cruzamento da N124-1 com a N125,Lagoa,Lagoa
Cruzamento da N124 com a M507-1,Giões,Alcoutim
Cruzamento da N124 com a N125,Portimão,Portimão
Cruzamento da N124 com a N266,Portimão,Portimão
Cruzamento da N124 com a N270,São Bartolomeu de Messines,Silves
Cruzamento da N124 com a N396,Querença,Loulé
Cruzamento da N125-4 com a M521,São Clemente,Loulé
Cruzamento da N125 com a M1347,Santiago,Tavira
Cruzamento da N125 com a M516-2,Moncarapacho,Olhão
Cruzamento da N125 com a M526,Boliqueime,Loulé
Cruzamento da N125 com a M531-1,Alvor,Portimão
Cruzamento da N125 com a M535,Budens,Vila do Bispo
Cruzamento da N125 com a M537-2,Budens,Vila do Bispo
Cruzamento da N125 com a N125-6,Castro Marim,Castro Marim
Cruzamento da N125 com a N269,Ferreiras,Albufeira
Cruzamento da N125 com a N395,Ferreiras,Albufeira
Cruzamento da N125 com a N396,São Clemente,Loulé
Cruzamento da N125 com a N398,Quelfes,Olhão
Cruzamento da N265 com a N392,Salvador,Serpa
Cruzamento da N266 com a N267 Oeste,Monchique,Monchique
Cruzamento da N269 com a N269-2,Tunes,Silves
Cruzamento do IC1 com o IP8,Grândola,Grândola
Cruzamento do IC4 com a M520,São Pedro,Faro
Cruzamento do IC4 com a N125,Almancil,Loulé
Cuba,Cuba,Cuba
Culatra,Sé,Faro
Deserto,Alcoutim,Alcoutim
Dunas de Vila Real de Santo António,Vila Real de Santo António,Vila Real de Santo António
Eixo Norte-Sul - Alcântara,Alcântara,Lisboa
Eixo Norte-Sul - Campolide,Campolide,Lisboa
Entradas,Entradas,Castro Verde
Ervidel,Ervidel,Aljustrel
Espiche,Luz,Lagos
Espírito Santo,Espírito Santo,Mértola
Estação da Luz,Luz de Tavira,Tavira
Estação da Porta Nova,Santa Maria,Tavira
Estação de Albufeira - Ferreiras,Ferreiras,Albufeira
Estação de Alcáçovas,Nossa Senhora da Tourega,Évora
Estação de Alcantarilha,Alcantarilha,Silves
Estação de Almancil,Almancil,Loulé
Estação de Alvito,Alvito,Alvito
Estação de Amoreiras - Odemira,São Martinho das Amoreiras,Odemira
Estação de Boliqueime,Boliqueime,Loulé
Estação de Bom João,Sé,Faro
Estação de Cacela,Vila Nova de Cacela,Vila Real de Santo António
Estação de Castro Marim,Castro Marim,Castro Marim
Estação de Ermidas - Sado,Ermidas - Sado,Santiago do Cacém
Estação de Estômbar - Lagoa,Estômbar,Lagoa
Estação de Faro,São Pedro,Faro
Estação de Ferragudo,Parchal,Lagoa
Estação de Funcheira,Garvão,Ourique
Estação de Fuseta-A,Fuseta,Olhão
Estação de Fuseta-Moncarapacho,Moncarapacho,Olhão
Estação de Lagos,São Sebastião,Lagos
Estação de Loulé,São Sebastião,Loulé
Estação de Messines - Alte,São Bartolomeu de Messines,Silves
Estação de Monte Gordo,Monte Gordo,Vila Real de Santo António
Estação de Parque das Cidades,Almancil,Loulé
Estação de Portimão,Portimão,Portimão
Estação de Santa Clara - Sabóia,Santa Clara-a-Velha,Odemira
Estação de Silves,Silves,Silves
Estação de Tavira,Santiago,Tavira
Estádio Algarve,Almancil,Loulé
Estoi,Estoi,Faro
Estômbar,Estômbar,Lagoa
"Estrela, Moura",Póvoa de São Miguel,Moura
Faro - Avenida Calouste Gulbenkian,São Pedro,Faro
Faro - São Pedro,São Pedro,Faro
Faro - Sé,Sé,Faro
Ferragudo,Ferragudo,Lagoa
Ferreira do Alentejo,Ferreira do Alentejo,Ferreira do Alentejo
Ferreiras,Ferreiras,Albufeira
Fóia,Monchique,Monchique
Fonte Benémola,Querença,Loulé
Fonte do Penedo,Odeleite,Castro Marim
Fonte Zambujo,Pereiro,Alcoutim
Fonte Zambujo de Baixo,Pereiro,Alcoutim
Fonte Zambujo de Cima,Pereiro,Alcoutim
Formoa,Santana de Cambas,Mértola
Forum Algarve,São Pedro,Faro
Foz de Odeleite,Odeleite,Castro Marim
Furnazinhas,Odeleite,Castro Marim
Fuseta,Fuseta,Olhão
Giões,Giões,Alcoutim
Grândola,Grândola,Grândola
Guerreiros do Rio,Alcoutim,Alcoutim
Guia,Guia,Albufeira
Hangares,Sé,Faro
Hortas,Monte Gordo,Vila Real de Santo António
IC1 - Cruzamento com a N124,São Bartolomeu de Messines,Silves
IC1 - Cruzamento com a N263,Panóias,Ourique
IC1 - Fim,Ferreiras,Albufeira
IC27 - Fim,Pereiro,Alcoutim
IC27 - Início,Castro Marim,Castro Marim
IC27 - Saída 1,Castro Marim,Castro Marim
IC27 - Saída 2,Azinhal,Castro Marim
IC27 - Saída 3,Azinhal,Castro Marim
IC27 - Saída 4,Odeleite,Castro Marim
IC27 - Saída 5,Odeleite,Castro Marim
IC27 - Saída 6,Alcoutim,Alcoutim
IC27 - Saída 7,Alcoutim,Alcoutim
Ilha da Armona,Quelfes,Olhão
Ilha do Farol,Sé,Faro
IP2 - Saída 38,Santana,Portel
IP2 - Saída 39,Vidigueira,Vidigueira
IP2 - Saída 40,Vidigueira,Vidigueira
IP2 - Saída 41,São Matias,Beja
IP2 - Saída 42,Santa Clara de Louredo,Beja
IP2 - Saída 43,Trindade,Beja
IP2 - Saída 44,Trindade,Beja
IP2 - Saída 45,Trindade,Beja
IP2 - Saída 46,Albernoa,Beja
IP2 - Saída 47,Albernoa,Beja
IP2 - Saída 48,Castro Verde,Castro Verde
IP2 - Saída 49,Castro Verde,Castro Verde
IP2 - Saída 50,Castro Verde,Castro Verde
IP8 - Início,Sines,Sines
